filename,abs_path,source_dir,frames,rows,cols,photometric,bits_stored,pixel_spacing,frame_time,frame_rate,manufacturer,model_name,rescale_intercept,rescale_slope
36,/mnt/pro/DSA/data/ori_data/DICOM1/36,/mnt/pro/DSA/data/ori_data/DICOM1,43,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
37,/mnt/pro/DSA/data/ori_data/DICOM1/37,/mnt/pro/DSA/data/ori_data/DICOM1,24,1024,1024,MONOCHROME2,10,None,,3.0,Philips,UNIQ Clarity,0,1
38,/mnt/pro/DSA/data/ori_data/DICOM1/38,/mnt/pro/DSA/data/ori_data/DICOM1,40,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
39,/mnt/pro/DSA/data/ori_data/DICOM1/39,/mnt/pro/DSA/data/ori_data/DICOM1,40,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
4,/mnt/pro/DSA/data/ori_data/DICOM1/4,/mnt/pro/DSA/data/ori_data/DICOM1,45,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
40,/mnt/pro/DSA/data/ori_data/DICOM1/40,/mnt/pro/DSA/data/ori_data/DICOM1,52,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
41,/mnt/pro/DSA/data/ori_data/DICOM1/41,/mnt/pro/DSA/data/ori_data/DICOM1,41,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
42,/mnt/pro/DSA/data/ori_data/DICOM1/42,/mnt/pro/DSA/data/ori_data/DICOM1,49,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
43,/mnt/pro/DSA/data/ori_data/DICOM1/43,/mnt/pro/DSA/data/ori_data/DICOM1,41,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
44,/mnt/pro/DSA/data/ori_data/DICOM1/44,/mnt/pro/DSA/data/ori_data/DICOM1,46,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
45,/mnt/pro/DSA/data/ori_data/DICOM1/45,/mnt/pro/DSA/data/ori_data/DICOM1,43,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
46,/mnt/pro/DSA/data/ori_data/DICOM1/46,/mnt/pro/DSA/data/ori_data/DICOM1,44,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
47,/mnt/pro/DSA/data/ori_data/DICOM1/47,/mnt/pro/DSA/data/ori_data/DICOM1,41,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
48,/mnt/pro/DSA/data/ori_data/DICOM1/48,/mnt/pro/DSA/data/ori_data/DICOM1,41,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
49,/mnt/pro/DSA/data/ori_data/DICOM1/49,/mnt/pro/DSA/data/ori_data/DICOM1,26,1024,1024,MONOCHROME2,10,None,,3.0,Philips,UNIQ Clarity,0,1
5,/mnt/pro/DSA/data/ori_data/DICOM1/5,/mnt/pro/DSA/data/ori_data/DICOM1,40,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
50,/mnt/pro/DSA/data/ori_data/DICOM1/50,/mnt/pro/DSA/data/ori_data/DICOM1,54,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
51,/mnt/pro/DSA/data/ori_data/DICOM1/51,/mnt/pro/DSA/data/ori_data/DICOM1,44,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
52,/mnt/pro/DSA/data/ori_data/DICOM1/52,/mnt/pro/DSA/data/ori_data/DICOM1,42,1024,1024,MONOCHROME2,10,None,,6.0,Philips,UNIQ Clarity,0,1
53,/mnt/pro/DSA/data/ori_data/DICOM1/53,/mnt/pro/DSA/data/ori_data/DICOM1,25,1024,1024,MONOCHROME2,10,None,,3.0,Philips,UNIQ Clarity,0,1
54,/mnt/pro/DSA/data/ori_data/DICOM1/54,/mnt/pro/DSA/data/ori_data/DICOM1,52,1024,1024,MONOCHROME2,10,None,,6.0,Philips,Allura UNIQ,0,1
